ticket_id,issue,subject,company,response,product_area,status,request_type,justification
1,"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,I'm unable to assist you with restoring access to your Claude team workspace as our documentation does not provide a clear solution for this scenario. I've escalated your issue to ensure it receives the necessary attention.,account access,escalated,product_issue,"No relevant documentation found to safely resolve the issue, requiring human review."
2,"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"We can't review your answers or increase your score. According to our Manual for Fair Hiring (Doc 4), HackerRank's grading is designed to be fair and unbiased. If you're concerned about the grading, please refer to the best practices for running group assessments in proctor mode (Doc 5) and contact support@hackerrank.com if you experience any issues during the assessment.",assessments,replied,product_issue,"The documentation clearly states that HackerRank's grading is designed to be fair and unbiased, and there's no provision for manual review or score adjustment."
3,"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,I'm unable to assist you further with this issue as our documentation does not cover merchant disputes or refunds. Please contact Visa's customer service directly for assistance.,card payments,escalated,product_issue,"No relevant documentation found to safely resolve the issue, escalating to customer service for further assistance."
4,"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"Unfortunately, our documentation does not mention refunds for mock interviews that stopped in between. However, according to our **AI Fluency Mock Interview** documentation, you can end an interview manually by clicking **End interview** in the upper-right corner of the interview screen. If you have any further questions or concerns, please let us know.",assessments,replied,product_issue,No relevant documentation found on refunds for mock interviews that stopped in between.
5,I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"We're unable to assist with payment issues for order ID cs_live_abcdefgh as it appears to be related to a Visa payment, which is outside of our support scope. Please contact Visa Consumer Support for assistance.",billing,replied,product_issue,"The provided documentation does not cover Visa payment issues, and the relevant documentation for Visa Consumer Support is available at https://www.visa.co.in/support.html."
6,"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"To set up the infosec process for your company on HackerRank, please refer to the 'Set Up HackerRank QuickApply' guide. This will walk you through the necessary steps to configure your account. Additionally, the 'Onboarding Candidates' article provides information on how to manage candidate onboarding. If you have any further questions or concerns, please let us know.",account access,replied,product_issue,The provided documentation covers the necessary steps for setting up the infosec process and onboarding candidates on HackerRank.
7,i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"The 'Apply' tab is not visible to candidates due to the 'Hide Locked Tabs in Interviews' feature. This feature ensures that candidates are focused on the tasks given to them and not distracted by additional tabs. For more information, please refer to our documentation on 'Hide Locked Tabs in Interviews'.",assessments,replied,product_issue,"The issue is related to the 'Hide Locked Tabs in Interviews' feature, which is documented in our support articles."
8,none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"Please check the 'Coding Challenges FAQs' for information on how submissions are scored and evaluated. If you're still experiencing issues, you may want to refer to the 'Set Up the Event Challenge' guide for troubleshooting steps.",assessments,replied,product_issue,"The issue appears to be related to the assessment process, and the provided documentation includes relevant information on how submissions are scored and evaluated."
9,"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Based on the documentation, it appears that the issue is related to system compatibility and permissions. Please ensure that you meet the technical requirements for network stability, supported operating systems, and supported browsers. Additionally, make sure to close any unauthorized applications and connect to a single monitor. If you're still experiencing issues, try refreshing the screen or checking the test environment settings.",assessments,replied,bug,"The issue is related to assessments, and the solution can be found in the provided documentation snippets."
10,"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Unfortunately, the documentation does not provide information on rescheduling a HackerRank assessment due to unforeseen circumstances. However, according to the 'Reschedule an Interview Prerequisites Rescheduling an Interview' article, it seems that rescheduling an interview is possible. Please refer to the article for more information on the prerequisites and the process to reschedule an interview.",assessments,replied,feature_request,"The documentation does not provide a clear process for rescheduling an assessment, but it does provide information on rescheduling an interview, which may be applicable to the situation."
11,"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,"Unfortunately, the inactivity times for candidates and interviewers are not explicitly mentioned in the provided documentation. However, it's recommended to use the 'Leave Interview' option or 'End Interview for all' feature to avoid interrupting the interview. You can also consider using the 'Observation mode' to view AI Assistant interactions in real-time without disrupting the session.",assessments,replied,product_issue,"No specific inactivity time settings were found in the documentation, and the provided features aim to minimize interruptions during interviews."
12,"it’s not working, help",Help needed,None,"Please check that you have clicked Update Settings after pasting the API key in the field, as mentioned in the HackerRank Tests Integration documentation. If you're still experiencing issues, try the troubleshooting steps outlined in the 'I'm getting an API connection error. How can I fix it?' article.",API,replied,bug,"The issue is likely due to a misconfiguration or a missing update, which is addressed in the provided documentation."
13,"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"To remove an interviewer from the platform, you can use the 'Leave Interview' option. This will allow you to exit the interview without ending it for other participants. Alternatively, you can use the 'End Interview for all' feature to end the session for all participants. Please refer to our documentation for more information on how to use these features.",assessments,replied,product_issue,"Based on Doc 4, the 'Leave Interview' option is available to avoid unwanted situations during interviews."
14,"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause,HackerRank,"To pause your subscription, please follow the instructions in our documentation: https://support.hackerrank.com/articles/5157311476-pause-subscription. This will temporarily suspend your account. If you have any further questions or concerns, please let us know.",billing,replied,product_issue,"The documentation clearly outlines the steps to pause a subscription, and this is a standard process for our platform."
15,"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,"We're sorry to hear that Claude is not working. Since we couldn't find any relevant documentation to resolve the issue, we're escalating this case to our engineering team for further assistance.",account access,escalated,bug,"No relevant documentation found to safely resolve the issue, requiring human review."
16,"My identity has been stolen, wat should I do",Identity Theft,Visa,I'm unable to assist you with this issue as it falls outside of our documented support scope. Please contact your local authorities or a trusted resource for assistance with identity theft.,account security,escalated,product_issue,"No relevant documentation found to safely resolve the issue, requiring escalation to a higher authority."
